Validation Date,Inflation CPI index,Inflation Rate,Gold value per 10gms,%Change,Silver value per 10gms,%Change,FD Value(Rs),FD Rate,PPF Value,PPF Rate,BSE Sensex Index value,%Change
31-Mar-81,100,,"1,670",,"2,715",,"1,085",8.50%,"1,085",8.00%,173,35%
31-Mar-82,100,0.00%,"1,645",-1%,"2,680",-1%,"1,183",9.00%,"1,177",8.50%,218,26%
31-Mar-83,109,9.00%,"1,800",9%,"3,105",16%,"1,289",9.00%,"1,277",8.50%,212,-3%
31-Mar-84,116,6.42%,"1,975",10%,"3,570",15%,"1,405",9.00%,"1,392",9.00%,245,16%
31-Mar-85,125,7.76%,"2,130",8%,"3,955",11%,"1,532",9.00%,"1,525",9.50%,354,44%
31-Mar-86,133,6.40%,"2,140",0%,"4,015",2%,"1,669",9.00%,"1,677",10.00%,574,62%
31-Mar-87,140,5.26%,"2,570",20%,"4,794",19%,"1,820",9.00%,"1,878",12.00%,510,-11%
31-Mar-88,150,7.14%,"3,130",22%,"6,066",27%,"2,002",10.00%,"2,104",12.00%,398,-22%
31-Mar-89,161,7.33%,"3,140",0%,"6,755",11%,"2,202",10.00%,"2,356",12.00%,714,79%
31-Mar-90,171,6.21%,"3,200",2%,"6,463",-4%,"2,422",10.00%,"2,639",12.00%,718,1%
31-Mar-91,182,6.43%,"3,466",8%,"6,646",3%,"2,664",10.00%,"2,955",12.00%,"1,168",63%
31-Mar-92,199,9.34%,"4,334",25%,"8,040",21%,"2,984",12.00%,"3,310",12.00%,"4,285",267%
31-Mar-93,223,12.06%,"4,140",-4%,"5,489",-32%,"3,312",11.00%,"3,707",12.00%,"2,281",-47%
31-Mar-94,244,9.42%,"4,598",11%,"7,142",30%,"3,643",10.00%,"4,152",12.00%,"3,779",66%
31-Mar-95,259,6.15%,"4,680",2%,"6,335",-11%,"4,044",11.00%,"4,650",12.00%,"3,261",-14%
31-Mar-96,281,8.49%,"5,160",10%,"7,346",16%,"4,529",12.00%,"5,208",12.00%,"3,367",3%
31-Mar-97,305,8.54%,"4,725",-8%,"7,345",0%,"5,073",12.00%,"5,833",12.00%,"3,361",0%
31-Mar-98,331,8.52%,"4,045",-14%,"8,560",17%,"5,631",11.00%,"6,533",12.00%,"3,893",16%
31-Mar-99,351,6.04%,"4,235",5%,"7,615",-11%,"6,250",11.00%,"7,317",12.00%,"3,740",-4%
31-Mar-00,389,10.83%,"4,380",3%,"7,900",4%,"6,844",9.50%,"8,195",12.00%,"5,001",34%
31-Mar-01,406,4.37%,"4,190",-4%,"7,215",-9%,"7,494",9.50%,"8,974",9.50%,"3,604",-28%
31-Mar-02,426,4.93%,"5,010",20%,"7,875",9%,"8,131",8.50%,"9,782",9.00%,"3,469",-4%
31-Mar-03,447,4.93%,"5,310",6%,"7,695",-2%,"8,619",6.00%,"10,564",8.00%,"3,049",-12%
31-Mar-04,463,3.58%,"6,065",14%,"11,770",53%,"9,072",5.25%,"11,409",8.00%,"5,591",83%
31-Mar-05,480,3.67%,"6,180",2%,"10,675",-9%,"9,571",5.50%,"12,322",8.00%,"6,493",16%
31-Mar-06,497,3.54%,"8,490",37%,"17,405",63%,"10,193",6.50%,"13,308",8.00%,"11,280",74%
31-Mar-07,519,4.43%,"9,395",11%,"19,520",12%,"11,110",9.00%,"14,373",8.00%,"13,072",16%
31-Mar-08,551,6.17%,"12,125",29%,"23,625",21%,"12,082",8.75%,"15,522",8.00%,"15,644",20%
31-Mar-09,582,5.63%,"15,105",25%,"22,165",-6%,"13,139",8.75%,"16,764",8.00%,"9,568",-39%
31-Mar-10,632,8.59%,"16,320",8%,"26,928",21%,"14,026",6.75%,"18,105",8.00%,"17,590",84%
31-Mar-11,711,12.50%,"20,671",27%,"55,730",107%,"14,896",6.20%,"19,427",7.30%,19445,11%
31-Mar-12,785,10.41%,"28,129",36%,"56,890",2%,"16,274",9.25%,"21,098",8.60%,17404,-10%
31-Mar-13,852,8.54%,"29,422",5%,"53,081",-7%,"17,779",9.25%,"22,933",8.70%,18835,8%
31-Mar-14,939,10.21%,"28,210",-4%,"42,805",-19%,"19,424",9.25%,"24,928",8.70%,22386,19%
31-Mar-15,1024,9.05%,"26,220",-7%,"37,436",-13%,"21,075",8.50%,"27,097",8.70%,27957,25%
31-Mar-16,1081,5.57%,"28,554",9%,"36,439",-3%,"22,655",7.50%,"29,292",8.10%,25364,-9%
31-Mar-17,1125,4.07%,"28,463",0%,"42,326",16%,"24,241",7.00%,"31,635",8.00%,29620,17%
31-Mar-18,1178,4.71%,"30,408",7%,"38,322",-9%,"25,938",7.00%,"34,103",7.80%,32969,11%
CAGR,7.04%,?Inflation,8.46%,?Gold,7.88%,?Silver,9.11%,?FD,9.64%,?PPF,16.49%,?Sensex
Valuation,,,,,,,,,,,,
